test_case_id,category,scenario,intent,actual_policy,actual_error,sid_calls,sv_calls,database_integrity_pass,response_scope_pass,latency_ms,passed
SYS018,SID_SV,private_valid,VIEW_PRIVATE_NOTE,SID_AND_SV,,1,1,true,true,0.000000,true
SYS019,SID_SV,private_claim_other,VIEW_PRIVATE_NOTE,SID_AND_SV,,1,1,true,true,0.000000,true
SYS020,SID_SV,impostor,VIEW_PRIVATE_NOTE,SID_AND_SV,VERIFICATION_FAILED,1,1,true,true,36.995900,true
SYS021,SID_SV,unknown_private,VIEW_PRIVATE_NOTE,SID_AND_SV,UNKNOWN_SPEAKER,1,0,true,true,0.257900,true
SYS022,SID_SV,sv_missing_centroid,VIEW_PRIVATE_NOTE,SID_AND_SV,CENTROID_NOT_FOUND,1,1,true,true,32.875500,true
SYS023,SID_SV,sv_exception,VIEW_PRIVATE_NOTE,SID_AND_SV,SV_ERROR: simulated SV exception,1,1,true,true,36.785700,true
SYS024,SID_SV,sid_exception,VIEW_PRIVATE_NOTE,SID_AND_SV,SID_ERROR: simulated SID exception,1,0,true,true,0.385500,true
