C,train_sample_count,validation_sample_count,validation_accuracy,validation_macro_f1,per_speaker_accuracy
0.1,100,50,1.00000000,1.00000000,"{""exp_svm_spk_0001"": 1.0, ""exp_svm_spk_0002"": 1.0, ""exp_svm_spk_0003"": 1.0, ""exp_svm_spk_0004"": 1.0, ""exp_svm_spk_0005"": 1.0, ""exp_svm_spk_0006"": 1.0, ""exp_svm_spk_0007"": 1.0, ""exp_svm_spk_0008"": 1.0, ""exp_svm_spk_0009"": 1.0, ""exp_svm_spk_0010"": 1.0}"
1,100,50,1.00000000,1.00000000,"{""exp_svm_spk_0001"": 1.0, ""exp_svm_spk_0002"": 1.0, ""exp_svm_spk_0003"": 1.0, ""exp_svm_spk_0004"": 1.0, ""exp_svm_spk_0005"": 1.0, ""exp_svm_spk_0006"": 1.0, ""exp_svm_spk_0007"": 1.0, ""exp_svm_spk_0008"": 1.0, ""exp_svm_spk_0009"": 1.0, ""exp_svm_spk_0010"": 1.0}"
10,100,50,1.00000000,1.00000000,"{""exp_svm_spk_0001"": 1.0, ""exp_svm_spk_0002"": 1.0, ""exp_svm_spk_0003"": 1.0, ""exp_svm_spk_0004"": 1.0, ""exp_svm_spk_0005"": 1.0, ""exp_svm_spk_0006"": 1.0, ""exp_svm_spk_0007"": 1.0, ""exp_svm_spk_0008"": 1.0, ""exp_svm_spk_0009"": 1.0, ""exp_svm_spk_0010"": 1.0}"
